gameID,Date,Team,RA_ROW,Opponent,Month,Year,Game,Home,B2B,Opp.B2B,Diff,PTS,Opp.PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FGM,Opp.FGA,Opp.FG%,Opp.3PM,Opp.3PA,Opp.3P%,Opp.FTM,Opp.FTA,Opp.FT%,Opp.ORB,Opp.TRB,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
25ATL41990,12/17/2014,ATL,TRUE,CLE,12,2014,25,0,0,0,29,127,98,49,76,0.645,16,28,0.571,13,16,0.813,6,40,36,3,5,9,17,37,82,0.451,8,30,0.267,16,21,0.762,10,33,24,3,0,8,17
26ATL41993,12/20/2014,ATL,TRUE,HOU,12,2014,26,0,0,0,7,104,97,38,74,0.514,10,26,0.385,18,24,0.75,4,37,26,7,9,15,15,34,86,0.395,15,43,0.349,14,18,0.778,15,43,27,8,4,16,25
27ATL41995,12/22/2014,ATL,TRUE,DAL,12,2014,27,0,0,0,3,105,102,40,81,0.494,7,19,0.368,18,27,0.667,6,43,26,6,6,17,21,39,90,0.433,11,28,0.393,13,20,0.65,13,47,23,12,5,15,23
28ATL41996,12/23/2014,ATL,TRUE,LAC,12,2014,28,1,1,1,3,107,104,34,76,0.447,12,23,0.522,27,35,0.771,9,43,28,6,3,14,21,37,92,0.402,11,29,0.379,19,28,0.679,16,51,26,10,5,10,23
29ATL41999,12/26/2014,ATL,TRUE,MIL,12,2014,29,1,0,0,-30,77,107,31,76,0.408,4,23,0.174,11,14,0.786,8,38,20,8,4,22,19,40,79,0.506,8,19,0.421,19,23,0.826,6,40,28,15,6,15,19
30ATL42000,12/27/2014,ATL,TRUE,MIL,12,2014,30,0,1,1,5,90,85,33,90,0.367,9,29,0.31,15,19,0.789,17,51,25,9,4,11,17,31,80,0.388,12,30,0.4,11,14,0.786,13,47,21,5,10,19,18
31ATL42003,12/30/2014,ATL,TRUE,CLE,12,2014,31,1,0,0,8,109,101,40,79,0.506,10,29,0.345,19,26,0.731,7,44,23,13,5,15,19,37,84,0.44,13,31,0.419,14,21,0.667,11,42,23,10,2,18,24
32ATL42006,1/2/2015,ATL,FALSE,UTA,1,2015,32,0,0,0,6,98,92,33,81,0.407,6,23,0.261,26,30,0.867,11,47,24,9,3,10,17,32,86,0.372,10,31,0.323,18,24,0.75,17,47,18,6,9,14,18
33ATL42007,1/3/2015,ATL,FALSE,POR,1,2015,33,0,1,0,8,115,107,43,84,0.512,6,17,0.353,23,31,0.742,10,46,17,9,5,14,15,42,93,0.452,13,33,0.394,10,12,0.833,11,44,24,6,7,18,23
34ATL42009,1/5/2015,ATL,FALSE,LAC,1,2015,34,0,0,0,9,107,98,36,81,0.444,13,27,0.481,22,33,0.667,7,41,25,13,2,12,23,33,74,0.446,7,25,0.28,25,33,0.758,8,45,23,5,5,21,25
35ATL42011,1/7/2015,ATL,FALSE,MEM,1,2015,35,1,0,0,10,96,86,32,72,0.444,13,25,0.52,19,23,0.826,8,37,21,17,4,17,15,35,79,0.443,5,17,0.294,11,11,1,8,39,20,10,4,21,21
36ATL42013,1/9/2015,ATL,FALSE,DET,1,2015,36,0,0,0,3,106,103,40,82,0.488,10,23,0.435,16,24,0.667,6,49,27,3,3,14,13,38,96,0.396,13,43,0.302,14,18,0.778,11,46,24,9,3,7,19
37ATL42015,1/11/2015,ATL,FALSE,WAS,1,2015,37,1,0,0,31,120,89,42,89,0.472,16,31,0.516,20,24,0.833,13,42,34,14,3,8,15,36,76,0.474,5,20,0.25,12,15,0.8,8,39,25,5,7,19,16
38ATL42017,1/13/2015,ATL,FALSE,PHI,1,2015,38,0,0,0,18,105,87,42,87,0.483,12,23,0.522,9,16,0.563,15,47,34,6,3,16,17,31,76,0.408,9,25,0.36,16,25,0.64,12,35,20,8,6,18,22
39ATL42018,1/14/2015,ATL,FALSE,BOS,1,2015,39,0,1,0,14,105,91,36,73,0.493,10,29,0.345,23,27,0.852,6,35,23,13,7,12,12,34,83,0.41,11,33,0.333,12,14,0.857,13,40,22,5,2,16,23
40ATL42020,1/16/2015,ATL,FALSE,TOR,1,2015,40,0,0,0,21,110,89,42,69,0.609,12,23,0.522,14,16,0.875,4,32,30,7,6,17,17,35,82,0.427,6,25,0.24,13,17,0.765,12,35,20,7,3,17,16
41ATL42021,1/17/2015,ATL,TRUE,CHI,1,2015,41,0,1,1,8,107,99,40,84,0.476,11,26,0.423,16,21,0.762,9,40,31,10,7,9,19,37,80,0.463,9,26,0.346,16,20,0.8,7,43,25,5,5,13,21
42ATL42023,1/19/2015,ATL,TRUE,DET,1,2015,42,1,0,0,11,93,82,37,84,0.44,9,30,0.3,10,14,0.714,5,42,31,8,1,10,19,29,82,0.354,9,35,0.257,15,26,0.577,20,61,17,6,2,18,17
43ATL42025,1/21/2015,ATL,TRUE,IND,1,2015,43,1,0,0,19,110,91,39,78,0.5,13,29,0.448,19,26,0.731,9,43,30,12,3,16,23,31,78,0.397,5,25,0.2,24,26,0.923,10,42,22,7,2,18,21
44ATL42027,1/23/2015,ATL,TRUE,OKC,1,2015,44,1,0,0,10,103,93,40,83,0.482,10,25,0.4,13,13,1,10,47,27,6,5,16,13,36,87,0.414,10,26,0.385,11,18,0.611,9,36,23,11,7,11,16
45ATL42029,1/25/2015,ATL,TRUE,MIN,1,2015,45,1,0,0,12,112,100,45,80,0.563,10,28,0.357,12,18,0.667,8,29,30,8,5,10,20,37,71,0.521,6,16,0.375,20,25,0.8,11,37,24,4,2,13,18
46ATL42032,1/28/2015,ATL,TRUE,BRK,1,2015,46,1,0,0,11,113,102,38,82,0.463,12,33,0.364,25,26,0.962,12,45,29,4,4,11,18,39,87,0.448,9,24,0.375,15,18,0.833,9,35,26,6,5,8,20
47ATL42034,1/30/2015,ATL,TRUE,POR,1,2015,47,1,0,0,6,105,99,40,84,0.476,11,23,0.478,14,22,0.636,7,42,26,12,4,13,17,39,87,0.448,11,30,0.367,10,11,0.909,9,46,25,7,3,17,20
48ATL42035,1/31/2015,ATL,TRUE,PHI,1,2015,48,1,1,1,6,91,85,34,78,0.436,10,28,0.357,13,18,0.722,8,44,20,6,5,12,16,31,81,0.383,14,35,0.4,9,15,0.6,10,44,21,7,4,14,26
49ATL42037,2/2/2015,ATL,TRUE,NOP,2,2015,49,0,0,0,-15,100,115,40,89,0.449,7,22,0.318,13,17,0.765,9,32,19,6,3,6,15,43,86,0.5,9,23,0.391,20,23,0.87,17,52,30,5,10,13,15
50ATL42039,2/4/2015,ATL,TRUE,WAS,2,2015,50,1,0,0,9,105,96,38,80,0.475,11,25,0.44,18,27,0.667,9,46,24,7,2,14,22,34,77,0.442,4,16,0.25,24,30,0.8,5,41,19,7,2,12,24
51ATL42041,2/6/2015,ATL,TRUE,GSW,2,2015,51,1,0,0,8,124,116,38,77,0.494,15,27,0.556,33,37,0.892,4,38,28,13,4,13,19,47,103,0.456,12,33,0.364,10,15,0.667,19,51,31,7,7,14,24
52ATL42043,2/8/2015,ATL,TRUE,MEM,2,2015,52,0,0,0,-6,88,94,33,80,0.413,12,30,0.4,10,11,0.909,3,37,17,6,5,14,16,36,92,0.391,3,13,0.231,19,21,0.905,17,55,18,8,4,11,12
53ATL42044,2/9/2015,ATL,TRUE,MIN,2,2015,53,0,1,1,12,117,105,44,86,0.512,10,21,0.476,19,20,0.95,10,36,26,14,6,10,21,42,93,0.452,5,16,0.313,16,22,0.727,23,50,24,6,8,16,19
54ATL42046,2/11/2015,ATL,TRUE,BOS,2,2015,54,0,0,0,-1,88,89,33,78,0.423,7,29,0.241,15,23,0.652,5,44,23,6,5,12,17,30,93,0.323,10,31,0.323,19,20,0.95,16,56,21,7,4,10,23
55ATL42055,2/20/2015,ATL,TRUE,TOR,2,2015,55,1,0,0,-25,80,105,29,88,0.33,8,38,0.211,14,21,0.667,17,52,19,6,8,22,10,43,96,0.448,13,30,0.433,6,8,0.75,15,52,27,15,9,13,20
56ATL42057,2/22/2015,ATL,TRUE,MIL,2,2015,56,0,0,0,11,97,86,35,87,0.402,9,30,0.3,18,21,0.857,16,43,23,10,7,20,17,32,72,0.444,4,16,0.25,18,18,1,8,38,19,10,7,24,24
57ATL42060,2/25/2015,ATL,TRUE,DAL,2,2015,57,1,0,1,17,104,87,39,85,0.459,13,35,0.371,13,16,0.813,10,41,28,7,2,11,18,34,80,0.425,5,31,0.161,14,18,0.778,13,44,20,0,3,15,18
58ATL42062,2/27/2015,ATL,TRUE,ORL,2,2015,58,1,0,0,7,95,88,36,81,0.444,14,31,0.452,9,12,0.75,11,42,27,11,5,18,12,36,80,0.45,9,26,0.346,7,13,0.538,10,40,22,10,7,17,17
59ATL42063,2/28/2015,ATL,TRUE,MIA,2,2015,59,0,1,1,2,93,91,34,79,0.43,10,25,0.4,15,20,0.75,8,37,23,12,5,18,19,32,81,0.395,7,26,0.269,20,21,0.952,14,47,17,12,3,23,16
60ATL42066,3/3/2015,ATL,TRUE,HOU,3,2015,60,1,0,0,8,104,96,39,86,0.453,8,29,0.276,18,21,0.857,9,49,23,3,6,15,13,39,90,0.433,14,41,0.341,4,9,0.444,8,41,30,6,6,12,21
61ATL42069,3/6/2015,ATL,TRUE,CLE,3,2015,61,1,0,0,9,106,97,43,84,0.512,6,21,0.286,14,17,0.824,11,38,27,10,4,12,22,29,69,0.42,13,38,0.342,26,33,0.788,10,37,18,7,6,17,14
62ATL42070,3/7/2015,ATL,TRUE,PHI,3,2015,62,0,1,1,-8,84,92,30,77,0.39,11,25,0.44,13,16,0.813,5,42,20,8,9,19,14,35,95,0.368,13,37,0.351,9,17,0.529,17,55,24,14,3,16,12
63ATL42072,3/9/2015,ATL,TRUE,SAC,3,2015,63,1,0,0,25,130,105,53,88,0.602,20,36,0.556,4,7,0.571,10,33,42,8,6,13,18,39,81,0.481,8,20,0.4,19,20,0.95,16,40,21,10,2,16,12
64ATL42074,3/11/2015,ATL,TRUE,DEN,3,2015,64,0,0,0,-13,102,115,34,81,0.42,9,27,0.333,25,27,0.926,8,32,18,11,3,17,18,42,84,0.5,13,31,0.419,18,20,0.9,11,44,28,8,9,19,20
65ATL42076,3/13/2015,ATL,TRUE,PHO,3,2015,65,0,0,0,9,96,87,39,83,0.47,8,18,0.444,10,12,0.833,7,38,22,11,6,11,20,32,78,0.41,10,26,0.385,13,21,0.619,11,45,19,7,6,18,14
66ATL42078,3/15/2015,ATL,TRUE,LAL,3,2015,66,0,0,0,5,91,86,34,76,0.447,5,23,0.217,18,27,0.667,7,34,25,9,6,10,14,34,85,0.4,7,18,0.389,11,15,0.733,19,54,21,6,4,21,22
67ATL42079,3/16/2015,ATL,TRUE,SAC,3,2015,67,0,1,0,7,110,103,38,84,0.452,12,31,0.387,22,30,0.733,9,39,25,11,5,12,24,38,81,0.469,7,20,0.35,20,25,0.8,9,45,23,7,5,20,29
68ATL42081,3/18/2015,ATL,TRUE,GSW,3,2015,68,0,0,0,-19,95,114,31,87,0.356,8,22,0.364,25,30,0.833,15,44,24,14,4,15,20,44,84,0.524,14,30,0.467,12,20,0.6,10,44,39,8,7,18,23
69ATL42083,3/20/2015,ATL,TRUE,OKC,3,2015,69,0,0,0,-8,115,123,41,82,0.5,13,29,0.448,20,25,0.8,7,34,20,9,4,11,16,43,84,0.512,13,30,0.433,24,26,0.923,10,44,26,6,6,12,19
70ATL42085,3/22/2015,ATL,TRUE,SAS,3,2015,70,1,0,0,-19,95,114,38,80,0.475,12,24,0.5,7,7,1,6,29,25,13,2,18,15,46,82,0.561,7,17,0.412,15,17,0.882,10,43,30,8,4,16,14
71ATL42088,3/25/2015,ATL,TRUE,ORL,3,2015,71,0,0,0,12,95,83,39,90,0.433,10,31,0.323,7,10,0.7,12,45,21,9,8,13,17,32,78,0.41,3,16,0.188,16,20,0.8,10,42,19,7,3,17,14
72ATL42090,3/27/2015,ATL,TRUE,MIA,3,2015,72,1,0,0,13,99,86,37,72,0.514,6,18,0.333,19,24,0.792,5,38,31,12,4,16,13,32,82,0.39,11,35,0.314,11,15,0.733,11,41,20,9,6,18,20
73ATL42091,3/28/2015,ATL,TRUE,CHO,3,2015,73,0,1,1,-15,100,115,37,86,0.43,15,30,0.5,11,14,0.786,7,36,32,6,4,10,17,42,80,0.525,12,26,0.462,19,22,0.864,7,42,28,4,6,8,16
74ATL42093,3/30/2015,ATL,TRUE,MIL,3,2015,74,1,0,0,13,101,88,36,79,0.456,9,29,0.31,20,24,0.833,12,42,29,5,4,11,20,34,75,0.453,4,17,0.235,16,23,0.696,13,39,26,4,2,11,22
75ATL42094,3/31/2015,ATL,TRUE,DET,3,2015,75,0,1,0,-10,95,105,40,84,0.476,8,25,0.32,7,10,0.7,12,43,25,8,0,17,14,41,83,0.494,11,29,0.379,12,17,0.706,9,38,26,11,6,11,14
76ATL42098,4/4/2015,ATL,TRUE,BRK,4,2015,76,1,0,1,32,131,99,49,82,0.598,17,33,0.515,16,19,0.842,7,34,40,15,4,12,16,39,80,0.488,10,23,0.435,11,17,0.647,12,39,22,7,2,21,15
77ATL42101,4/7/2015,ATL,TRUE,PHO,4,2015,77,1,0,0,27,96,69,41,83,0.494,4,25,0.16,10,14,0.714,8,54,21,9,4,15,17,26,83,0.313,4,20,0.2,13,18,0.722,9,37,16,5,6,15,9
78ATL42102,4/8/2015,ATL,TRUE,BRK,4,2015,78,0,1,0,3,114,111,43,86,0.5,11,28,0.393,17,25,0.68,10,40,35,11,4,11,18,41,87,0.471,7,26,0.269,22,25,0.88,14,47,27,7,4,12,20
79ATL42104,4/10/2015,ATL,TRUE,CHO,4,2015,79,1,0,0,24,104,80,41,82,0.5,10,28,0.357,12,16,0.75,9,44,31,10,4,13,18,30,83,0.361,8,30,0.267,12,18,0.667,12,46,21,8,3,13,15
80ATL42106,4/12/2015,ATL,TRUE,WAS,4,2015,80,0,0,0,-9,99,108,36,87,0.414,9,29,0.31,18,24,0.75,7,38,24,10,2,11,22,39,85,0.459,9,21,0.429,21,27,0.778,14,51,22,8,6,19,19
81ATL42107,4/13/2015,ATL,TRUE,NYK,4,2015,81,1,1,0,-4,108,112,39,88,0.443,11,32,0.344,19,23,0.826,12,37,27,10,3,8,17,43,77,0.558,13,25,0.52,13,19,0.684,9,39,33,7,7,17,19
82ATL42109,4/15/2015,ATL,TRUE,CHI,4,2015,82,0,0,0,-6,85,91,36,92,0.391,8,29,0.276,5,7,0.714,10,42,15,10,10,15,19,31,77,0.403,7,24,0.292,22,26,0.846,7,50,14,11,9,21,12
1ATL42304,10/27/2015,ATL,TRUE,DET,10,2015,1,1,0,0,-12,94,106,37,82,0.451,8,27,0.296,12,15,0.8,7,40,22,9,4,15,25,37,96,0.385,12,29,0.414,20,26,0.769,23,59,23,5,3,15,15
2ATL42306,10/29/2015,ATL,TRUE,NYK,10,2015,2,0,0,1,11,112,101,42,83,0.506,10,24,0.417,18,26,0.692,7,39,26,11,4,15,18,38,93,0.409,6,29,0.207,19,21,0.905,16,48,21,10,4,21,24
3ATL42307,10/30/2015,ATL,TRUE,CHO,10,2015,3,1,1,0,3,97,94,36,83,0.434,8,23,0.348,17,22,0.773,8,45,23,9,4,15,17,36,88,0.409,12,30,0.4,10,13,0.769,13,54,23,7,6,18,20
4ATL42309,11/1/2015,ATL,TRUE,CHO,11,2015,4,0,0,0,2,94,92,37,88,0.42,7,29,0.241,13,14,0.929,9,48,22,9,6,11,16,32,86,0.372,14,37,0.378,14,15,0.933,9,45,27,7,13,11,14
5ATL42311,11/3/2015,ATL,TRUE,MIA,11,2015,5,0,0,0,6,98,92,37,90,0.411,7,21,0.333,17,22,0.773,16,51,25,10,1,15,14,38,86,0.442,5,28,0.179,11,16,0.688,13,49,13,10,9,18,21
6ATL42312,11/4/2015,ATL,TRUE,BRK,11,2015,6,1,1,0,14,101,87,37,76,0.487,8,22,0.364,19,24,0.792,6,34,27,15,10,13,17,36,83,0.434,5,21,0.238,10,13,0.769,14,43,24,9,4,19,19
7ATL42314,11/6/2015,ATL,TRUE,NOP,11,2015,7,0,0,0,6,121,115,41,77,0.532,9,21,0.429,30,35,0.857,6,41,30,10,6,15,21,42,84,0.5,10,30,0.333,21,24,0.875,6,32,30,9,7,12,24
8ATL42315,11/7/2015,ATL,TRUE,WAS,11,2015,8,1,1,1,15,114,99,43,92,0.467,13,33,0.394,15,15,1,10,39,37,12,4,14,15,38,78,0.487,8,24,0.333,15,17,0.882,8,41,27,11,3,24,18
9ATL42317,11/9/2015,ATL,TRUE,MIN,11,2015,9,1,0,0,-10,107,117,44,86,0.512,13,31,0.419,6,7,0.857,4,27,30,13,6,17,19,46,80,0.575,7,15,0.467,18,22,0.818,8,40,27,10,5,19,18
10ATL42319,11/11/2015,ATL,TRUE,NOP,11,2015,10,1,0,1,8,106,98,42,86,0.488,10,26,0.385,12,16,0.75,8,44,26,10,7,12,16,37,83,0.446,14,29,0.483,10,15,0.667,8,40,21,6,0,19,21
11ATL42321,11/13/2015,ATL,TRUE,BOS,11,2015,11,0,0,0,-13,93,106,36,76,0.474,6,20,0.3,15,20,0.75,5,35,26,3,2,16,14,42,103,0.408,11,33,0.333,11,12,0.917,17,50,27,10,7,10,18
12ATL42323,11/15/2015,ATL,TRUE,UTA,11,2015,12,1,0,0,-1,96,97,37,76,0.487,8,22,0.364,14,17,0.824,8,33,26,9,5,15,16,39,76,0.513,7,21,0.333,12,17,0.706,10,40,21,7,7,17,15
13ATL42325,11/17/2015,ATL,TRUE,BRK,11,2015,13,0,0,0,-2,88,90,33,76,0.434,12,29,0.414,10,14,0.714,8,44,22,7,7,20,17,37,84,0.44,9,20,0.45,7,13,0.538,9,44,22,14,3,11,14
14ATL42326,11/18/2015,ATL,TRUE,SAC,11,2015,14,1,1,0,6,103,97,38,89,0.427,9,30,0.3,18,24,0.75,12,45,23,9,6,11,15,38,86,0.442,5,16,0.313,16,18,0.889,13,52,26,7,1,20,22
15ATL42329,11/21/2015,ATL,TRUE,CLE,11,2015,15,0,0,0,-12,97,109,32,86,0.372,11,28,0.393,22,25,0.88,12,38,22,10,4,12,20,41,85,0.482,11,29,0.379,16,19,0.842,11,51,27,4,8,14,22
16ATL42332,11/24/2015,ATL,TRUE,BOS,11,2015,16,1,0,0,24,121,97,45,80,0.563,12,24,0.5,19,22,0.864,6,43,33,8,7,20,25,34,82,0.415,9,21,0.429,20,26,0.769,10,33,23,14,2,16,19
17ATL42333,11/25/2015,ATL,TRUE,MIN,11,2015,17,0,1,0,-4,95,99,31,82,0.378,8,31,0.258,25,35,0.714,15,53,14,10,7,14,20,34,82,0.415,9,21,0.429,22,29,0.759,7,45,22,9,4,11,23
18ATL42335,11/27/2015,ATL,TRUE,MEM,11,2015,18,0,0,0,15,116,101,35,75,0.467,14,39,0.359,32,36,0.889,6,40,25,4,3,10,21,35,80,0.438,12,30,0.4,19,21,0.905,5,37,20,3,1,13,25
19ATL42336,11/28/2015,ATL,TRUE,SAS,11,2015,19,0,1,1,-20,88,108,37,87,0.425,6,26,0.231,8,13,0.615,12,43,28,9,5,18,17,40,85,0.471,9,17,0.529,19,20,0.95,12,49,25,11,9,16,14
20ATL42338,11/30/2015,ATL,TRUE,OKC,11,2015,20,1,0,0,6,106,100,39,90,0.433,10,28,0.357,18,20,0.9,14,51,23,9,8,12,15,37,93,0.398,7,19,0.368,19,22,0.864,13,48,19,8,8,11,19
21ATL42340,12/2/2015,ATL,TRUE,TOR,12,2015,21,1,0,0,-10,86,96,33,90,0.367,8,27,0.296,12,16,0.75,13,43,22,8,7,12,20,36,79,0.456,6,25,0.24,18,24,0.75,8,50,12,10,5,12,18
22ATL42342,12/4/2015,ATL,TRUE,LAL,12,2015,22,1,0,0,13,100,87,37,74,0.5,10,26,0.385,16,20,0.8,9,43,24,11,9,17,11,32,86,0.372,13,27,0.481,10,13,0.769,15,42,19,10,7,16,14
23ATL42347,12/9/2015,ATL,TRUE,DAL,12,2015,23,0,0,0,3,98,95,39,81,0.481,6,20,0.3,14,18,0.778,6,47,26,7,7,14,19,36,100,0.36,7,31,0.226,16,19,0.842,20,51,18,7,3,9,15
24ATL42348,12/10/2015,ATL,TRUE,OKC,12,2015,24,0,1,0,-13,94,107,35,78,0.449,10,28,0.357,14,23,0.609,5,34,21,9,7,9,19,39,80,0.488,9,17,0.529,20,26,0.769,10,52,24,6,2,14,16
25ATL42350,12/12/2015,ATL,TRUE,SAS,12,2015,25,1,0,1,-25,78,103,30,80,0.375,5,24,0.208,13,16,0.813,7,33,21,15,3,17,15,36,74,0.486,10,20,0.5,21,22,0.955,6,49,26,11,2,23,16
26ATL42352,12/14/2015,ATL,TRUE,MIA,12,2015,26,1,0,1,-12,88,100,33,84,0.393,8,33,0.242,14,15,0.933,7,37,25,7,4,14,21,40,89,0.449,7,16,0.438,13,15,0.867,15,54,26,6,5,15,16
27ATL42354,12/16/2015,ATL,TRUE,PHI,12,2015,27,1,0,0,21,127,106,48,78,0.615,10,21,0.476,21,24,0.875,2,25,32,11,7,12,21,39,75,0.52,12,26,0.462,16,24,0.667,7,32,20,5,2,22,21
28ATL42356,12/18/2015,ATL,TRUE,BOS,12,2015,28,0,0,0,8,109,101,41,88,0.466,4,20,0.2,23,29,0.793,9,42,23,11,4,12,28,34,77,0.442,10,23,0.435,23,31,0.742,6,43,19,5,2,21,25
